40: [0] [[]]
47: [0] [[0.4122462868690491]]
299: [0] [[0.02350485324859619, 0.9429607428610325]]
300: [0] [[0.007544398307800293, 0.916276104748249]]
301: [0] [[0.007849633693695068, 0.9326203614473343]]
302: [0] [[0.005839228630065918, 0.9289954304695129]]
303: [0] [[0.004220366477966309, 0.9480391554534435]]
304: [0] [[0.009840607643127441, 0.9513252712786198]]
305: [0] [[0.00957876443862915, 0.9191743433475494]]
306: [0] [[0.012987136840820312, 0.928310252726078]]
307: [0] [[0.01237499713897705, 0.9349410459399223]]
308: [0] [[0.006372630596160889, 0.9207873642444611]]
309: [0] [[0.012220621109008789, 0.9545908309519291]]
310: [0] [[0.015510499477386475, 0.9215501844882965]]
311: [0] [[0.008256018161773682, 0.9297673851251602]]
312: [0] [[0.015153586864471436, 0.924528531730175]]
313: [0] [[0.0054738521575927734, 0.9531082846224308]]
314: [0] [[0.013180315494537354, 0.9645802341401577]]
315: [0] [[0.008296549320220947, 0.9598920680582523]]
316: [0] [[0.01226872205734253, 1.0156923476606607]]
317: [0] [[0.015385746955871582, 1.0443276800215244]]
318: [0] [[0.00759810209274292, 1.0566071569919586]]
319: [0] [[0.012125194072723389, 1.0309584252536297]]
320: [0] [[0.023034214973449707, 1.0356132090091705]]
321: [0] [[0.006303548812866211, 1.0028142931405455]]
322: [0] [[0.0039705634117126465, 0.9897382846102118]]
323: [0] [[0.018449485301971436, 1.045734167098999]]
324: [0] [[0.024580717086791992, 1.0682393461465836]]
325: [0] [[0.014810025691986084, 1.0308395251631737]]
326: [0] [[0.009491145610809326, 1.0422791726887226]]
327: [0] [[0.006651937961578369, 1.0249831676483154]]
328: [0] [[0.005596518516540527, 1.0090522095561028]]
329: [0] [[0.01347440481185913, 1.003812231356278]]
330: [0] [[0.00828862190246582, 0.9998031780123711]]
331: [0] [[0.005439579486846924, 1.008235582150519]]
332: [0] [[0.024142682552337646, 0.931899294257164]]
333: [0] [[0.013983428478240967, 0.987121163867414]]
334: [0] [[0.00728529691696167, 0.9395262226462364]]
335: [0] [[0.015664756298065186, 0.986834516748786]]
336: [0] [[0.009674310684204102, 0.9656603671610355]]
337: [0] [[0.046099305152893066, 0.9470602013170719]]
338: [0] [[0.015106558799743652, 1.027296895161271]]
339: [0] [[0.028676748275756836, 1.02198133058846]]
340: [0] [[0.01902991533279419, 1.005356811452657]]
341: [0] [[0.01693713665008545, 1.0199629087001085]]
342: [0] [[0.014463245868682861, 1.0426056049764156]]
343: [0] [[0.032917022705078125, 0.9600232727825642]]
344: [0] [[0.022937893867492676, 0.981757640838623]]
345: [0] [[0.01379406452178955, 0.9867113595828414]]
346: [0] [[0.01713317632675171, 1.017191344872117]]
347: [0] [[0.028643548488616943, 0.9974680391605943]]
348: [0] [[0.017710745334625244, 1.0005027503357269]]
349: [0] [[0.007663547992706299, 0.9961886403616518]]
350: [0] [[0.0269320011138916, 0.9667420871555805]]
351: [0] [[0.008695065975189209, 0.9800458159297705]]
352: [0] [[0.02260035276412964, 0.9399634823203087]]
353: [0] [[0.011208176612854004, 0.9572823978960514]]
354: [0] [[0.013109445571899414, 0.9719880372285843]]
355: [0] [[0.020163297653198242, 0.9816869776695967]]
356: [0] [[0.013192474842071533, 0.9691426064819098]]
357: [0] [[0.009219646453857422, 1.0111771011725068]]
358: [0] [[0.015563726425170898, 1.0327000841498375]]
359: [0] [[0.008253216743469238, 1.0545927956700325]]
360: [0] [[0.02299445867538452, 1.098993569612503]]
361: [0] [[0.008659183979034424, 1.0577738285064697]]
362: [0] [[0.005377471446990967, 1.0720869526267052]]
363: [0] [[0.016481399536132812, 1.0696353688836098]]
364: [0] [[0.009843647480010986, 1.0633729845285416]]
365: [0] [[0.009550333023071289, 1.057637456804514]]
366: [0] [[0.01645207405090332, 1.0550674609839916]]
367: [0] [[0.01667088270187378, 1.0265391562134027]]
368: [0] [[0.008397042751312256, 1.014568188227713]]
369: [0] [[0.0046536922454833984, 1.0340603739023209]]
370: [0] [[0.01035541296005249, 0.9783135261386633]]
371: [0] [[0.003907203674316406, 0.9981908275512978]]
372: [0] [[0.015343129634857178, 1.0178729984909296]]
373: [0] [[0.009246349334716797, 0.9723018687218428]]
374: [0] [[0.0023862123489379883, 0.9738093595951796]]
375: [0] [[0.009557127952575684, 0.9887131219729781]]
376: [0] [[0.006156265735626221, 1.0121651152148843]]
377: [0] [[0.002394735813140869, 1.0297662634402514]]
378: [0] [[0.003802776336669922, 1.0299217868596315]]
379: [0] [[0.006907522678375244, 1.0385656170547009]]
380: [0] [[0.010932385921478271, 1.005450010765344]]
381: [0] [[0.010855317115783691, 0.9736302848905325]]
382: [0] [[0.005134165287017822, 0.9932916462421417]]
383: [0] [[0.007025599479675293, 0.9837205391377211]]
384: [0] [[0.05567508935928345, 0.8518273085355759]]
385: [0] [[0.0020933151245117188, 0.8761971518397331]]
386: [0] [[2.4437904357910156e-06, 0.8755067586898804]]
387: [0] [[0.030732572078704834, 0.8373947292566299]]
388: [0] [[0.008020758628845215, 0.8103536516427994]]
389: [0] [[0.002221524715423584, 0.8090797513723373]]
390: [0] [[0.008818864822387695, 0.8545199185609818]]
391: [0] [[0.011678993701934814, 0.8891525790095329]]
392: [0] [[0.012729525566101074, 0.8614981919527054]]
393: [0] [[0.004830002784729004, 0.867627426981926]]
394: [0] [[0.007242262363433838, 0.8517003208398819]]
395: [0] [[0.02157515287399292, 0.8484817445278168]]
396: [0] [[0.005298137664794922, 0.8202884793281555]]
397: [0] [[0.015794992446899414, 0.8238738626241684]]
398: [0] [[0.006084799766540527, 0.8397419154644012]]
399: [0] [[0.0020712614059448242, 0.8269779533147812]]
400: [0] [[0.012380778789520264, 0.8728103488683701]]
401: [0] [[0.003889620304107666, 0.8575315475463867]]
402: [0] [[0.012619614601135254, 0.8443938493728638]]
403: [0] [[0.008197188377380371, 0.8485023975372314]]
404: [0] [[0.007867753505706787, 0.8917477503418922]]
405: [0] [[0.019192755222320557, 0.8130227029323578]]
406: [0] [[0.004845798015594482, 0.8269984424114227]]
407: [0] [[0.011441707611083984, 0.7938837856054306]]
408: [0] [[0.004537999629974365, 0.7905660569667816]]
409: [0] [[0.008427083492279053, 0.7859227210283279]]
410: [0] [[0.013370990753173828, 0.8033818751573563]]
411: [0] [[0.020019888877868652, 0.80547134578228]]
412: [0] [[0.016295552253723145, 0.8198831528425217]]
413: [0] [[0.010124921798706055, 0.8024399876594543]]
414: [0] [[0.033946990966796875, 0.8728119879961014]]
415: [0] [[0.014196336269378662, 0.8966069743037224]]
416: [0] [[0.023539960384368896, 0.8730898350477219]]
417: [0] [[0.0281715989112854, 0.8389318138360977]]
418: [0] [[0.010205566883087158, 0.7991500496864319]]
419: [0] [[0.009450018405914307, 0.8497264087200165]]
420: [0] [[0.01868271827697754, 0.8288717865943909]]
421: [0] [[0.026822566986083984, 0.785258561372757]]
422: [0] [[0.035988450050354004, 0.8649343401193619]]
423: [0] [[0.010895907878875732, 0.9247473552823067]]
424: [0] [[0.006388425827026367, 0.9126129671931267]]
425: [0] [[0.006288051605224609, 0.9062336981296539]]
426: [0] [[0.019460737705230713, 0.9191046357154846]]
427: [0] [[0.007277190685272217, 0.8755509629845619]]
428: [0] [[0.006422817707061768, 0.8593544661998749]]
429: [0] [[0.012235403060913086, 0.9017994031310081]]
430: [0] [[0.02169281244277954, 0.9090549573302269]]
431: [0] [[0.00793612003326416, 0.8776885643601418]]
432: [0] [[0.015920937061309814, 0.8676293343305588]]
433: [0] [[0.008024990558624268, 0.8516041934490204]]
434: [0] [[0.011076211929321289, 0.8691618591547012]]
435: [0] [[0.05277889966964722, 0.8964297920465469]]
436: [0] [[0.01733607053756714, 0.9252683371305466]]
437: [0] [[0.011229872703552246, 0.9064676985144615]]
438: [0] [[0.007868409156799316, 0.9065689072012901]]
439: [0] [[0.007898688316345215, 0.8813414052128792]]
440: [0] [[0.010554134845733643, 0.8844345137476921]]
