93: [0] [[]]
96: [0] [[0.2525278329849243]]
97: [0] [[0.004126906394958496]]
101: [0] [[0.23139947652816772]]
102: [0] [[0.0013031363487243652]]
103: [0] [[0.11763131618499756]]
104: [0] [[0.10237157344818115]]
105: [0] [[0.0011881589889526367]]
106: [0] [[0.13537120819091797]]
107: [0] [[0.0008588433265686035]]
108: [0] [[0.1597554087638855]]
109: [0] [[0.015247881412506104]]
110: [0] [[0.0]]
111: [0] [[0.18453192710876465]]
112: [0] [[0.14235591888427734]]
113: [0] [[0.1807228922843933]]
114: [0] [[0.08276963233947754]]
115: [0] [[0.0]]
116: [0, 0] [[0.6135035455226898], [0.7516379952430725]]
117: [0, 0] [[0.6460646390914917], [0.62856724858284]]
118: [0, 0] [[0.6465547680854797], [0.6772587895393372]]
119: [0, 0] [[0.7628941684961319], [0.7694986164569855]]
120: [0, 0] [[0.7694986164569855], [0.7694986164569855]]
121: [0, 0] [[0.6566641926765442], [0.7057190835475922]]
122: [0, 0] [[0.764772355556488], [0.7562659680843353]]
123: [0, 0] [[0.8100520372390747], [0.7368442416191101]]
124: [0, 0] [[0.7421447932720184], [0.7454578876495361]]
125: [0, 0] [[0.6986618340015411], [0.6986618340015411]]
126: [0, 0] [[0.641889214515686], [0.5893149971961975]]
193: [1, 0] [[1.0909190773963928, 0.10748010873794556], [0.23079955577850342, 1.110686294734478]]
194: [1, 0] [[1.0224291868507862, 0.25586771965026855], [0.04639512300491333, 0.9855696903541684]]
195: [1, 0] [[1.03343241289258, 0.01651090383529663], [0.0329706072807312, 1.012505360879004]]
196: [1, 1, 0] [[0.9800998959690332, 0.35057663917541504], [1.0035785059444606, 0.36824119091033936], [0.23655670881271362, 0.9461738429963589]]
197: [1, 1, 0] [[0.9463491477072239, 0.3324248790740967], [1.1157136112451553, 0.656401664018631], [0.0580977201461792, 1.0645664259791374]]
198: [1, 1, 0] [[0.8088021129369736, 0.6627070009708405], [0.9342925325036049, 0.5306675136089325], [0.33533304929733276, 0.9823420401662588]]
199: [1, 1, 0] [[0.9472356103360653, 0.5578441917896271], [0.9694537501782179, 0.5247373878955841], [0.042263031005859375, 1.0032607840839773]]
200: [1, 1, 0] [[0.9588773623108864, 0.5247373878955841], [1.0019688254687935, 0.5258019864559174], [0.06128060817718506, 1.0447569750249386]]
201: [1, 1, 0] [[0.8965288028120995, 0.4884761571884155], [1.0103559605777264, 0.478509783744812], [0.19222503900527954, 0.9342071488499641]]
202: [1, 1, 0] [[0.9249646812677383, 0.4578893780708313], [0.9309743121266365, 0.4532209634780884], [0.22999918460845947, 0.9700823966413736]]
